0,0.0,1.0
1,0.99,0.01
2,0.99,0.03
3,0.99,0.05
4,0.99,0.06
5,0.99,0.08
6,0.99,0.1
7,0.99,0.12
8,0.99,0.13
9,0.98,0.15
10,0.98,0.17
11,0.98,0.19
12,0.97,0.2
13,0.97,0.22
14,0.97,0.24
15,0.96,0.25
16,0.96,0.27
17,0.95,0.29
18,0.95,0.3
19,0.94,0.32
20,0.93,0.34
21,0.93,0.35
22,0.92,0.37
23,0.92,0.39
24,0.91,0.4
25,0.9,0.42
26,0.89,0.43
27,0.89,0.45
28,0.88,0.46
29,0.87,0.48
30,0.86,0.5
31,0.85,0.51
32,0.84,0.52
33,0.83,0.54
34,0.82,0.55
35,0.81,0.57
36,0.8,0.58
37,0.79,0.6
38,0.78,0.61
39,0.77,0.62
40,0.76,0.64
41,0.75,0.65
42,0.74,0.66
43,0.73,0.68
44,0.71,0.69
45,0.7,0.7
46,0.69,0.71
47,0.68,0.73
48,0.66,0.74
49,0.65,0.75
50,0.64,0.76
51,0.62,0.77
52,0.61,0.78
53,0.6,0.79
54,0.58,0.8
55,0.57,0.81
56,0.55,0.82
57,0.54,0.83
58,0.52,0.84
59,0.51,0.85
60,0.49,0.86
61,0.48,0.87
62,0.46,0.88
63,0.45,0.89
64,0.43,0.89
65,0.42,0.9
66,0.4,0.91
67,0.39,0.92
68,0.37,0.92
69,0.35,0.93
70,0.34,0.93
71,0.32,0.94
72,0.3,0.95
73,0.29,0.95
74,0.27,0.96
75,0.25,0.96
76,0.24,0.97
77,0.22,0.97
78,0.2,0.97
79,0.19,0.98
80,0.17,0.98
81,0.15,0.98
82,0.13,0.99
83,0.12,0.99
84,0.1,0.99
85,0.08,0.99
86,0.06,0.99
87,0.05,0.99
88,0.03,0.99
89,0.01,0.99
90,1.0,0.0
91,0.01,-0.99
92,0.03,-0.99
93,0.05,-0.99
94,0.06,-0.99
95,0.08,-0.99
96,0.1,-0.99
97,0.12,-0.99
98,0.13,-0.99
99,0.15,-0.98
100,0.17,-0.98
101,0.19,-0.98
102,0.2,-0.97
103,0.22,-0.97
104,0.24,-0.97
105,0.25,-0.96
106,0.27,-0.96
107,0.29,-0.95
108,0.3,-0.95
109,0.32,-0.94
110,0.34,-0.93
111,0.35,-0.93
112,0.37,-0.92
113,0.39,-0.92
114,0.4,-0.91
115,0.42,-0.9
116,0.43,-0.89
117,0.45,-0.89
